               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.021468,           0.0083055,                   0,             0.76581,             0.81579,             0.80835,             0.37334,            0.042477,            0.022756,                   0,            0.003565,            0.003565,            0.003565
                 145,            0.021416,           0.0085281,                   0,             0.78316,             0.76316,             0.75537,             0.37273,            0.041741,            0.022521,                   0,             0.00352,             0.00352,             0.00352
                 146,            0.020804,           0.0080183,                   0,             0.78588,             0.78947,             0.82486,             0.38571,            0.043927,            0.022537,                   0,            0.003475,            0.003475,            0.003475
                 147,            0.020626,           0.0076734,                   0,             0.76372,             0.76559,             0.80154,             0.37586,            0.042169,             0.02243,                   0,             0.00343,             0.00343,             0.00343
                 148,            0.020398,           0.0078275,                   0,             0.83283,             0.78669,             0.84709,             0.38383,            0.041668,            0.022569,                   0,            0.003385,            0.003385,            0.003385
                 149,             0.02034,           0.0080038,                   0,             0.80672,             0.76899,             0.77524,             0.38252,            0.041713,            0.023119,                   0,             0.00334,             0.00334,             0.00334
                 150,            0.020396,            0.008311,                   0,             0.72631,             0.83811,             0.79197,              0.3933,            0.041297,            0.023114,                   0,            0.003295,            0.003295,            0.003295
                 151,            0.020525,           0.0078894,                   0,             0.77106,             0.81579,             0.83791,             0.40428,            0.040536,            0.022356,                   0,             0.00325,             0.00325,             0.00325
                 152,            0.020741,           0.0078513,                   0,             0.85901,             0.78947,             0.86621,             0.42611,            0.039114,            0.022051,                   0,            0.003205,            0.003205,            0.003205
                 153,            0.020111,           0.0079055,                   0,             0.85279,             0.73684,             0.82923,              0.4041,            0.039854,             0.02179,                   0,             0.00316,             0.00316,             0.00316
                 154,            0.020475,               0.008,                   0,             0.87306,             0.76316,             0.86304,             0.41286,            0.039122,            0.022329,                   0,            0.003115,            0.003115,            0.003115
                 155,            0.019813,           0.0077309,                   0,             0.82436,             0.86842,             0.88624,             0.40646,            0.040021,            0.022676,                   0,             0.00307,             0.00307,             0.00307
                 156,            0.019851,           0.0078819,                   0,             0.81654,             0.81579,             0.84304,             0.42699,            0.038322,            0.022484,                   0,            0.003025,            0.003025,            0.003025
                 157,            0.019473,           0.0076257,                   0,              0.7925,             0.81579,                0.86,             0.41775,            0.039257,            0.022511,                   0,             0.00298,             0.00298,             0.00298
